# #wave,bin_width,(rp/rs)**2,(rp/rs)**2_err
8.771132776231614914e-01,8.904815830726553472e-03,2.100532759736365926e-02,2.908681334422999693e-04
8.860294926885012856e-01,8.927614299953035015e-03,2.115386823345893896e-02,2.958534655619999773e-04
8.954164294543174307e-01,9.846259231679366231e-03,2.115128848178562254e-02,2.905007529077499942e-04
9.052760002544633089e-01,9.872882368612168058e-03,2.116740703902097315e-02,2.729131521165000136e-04
9.151619416423071307e-01,9.899000407075586594e-03,2.110350733829959025e-02,2.554702558342499897e-04
9.250737594602105318e-01,9.924635228731326642e-03,2.131886741620653627e-02,2.591711060406499912e-04
9.350109721505805993e-01,9.949790152008808342e-03,2.131690100813004099e-02,2.466025335604500081e-04
9.449731015526622313e-01,9.974468652154344639e-03,2.132519111857901148e-02,2.591414571449000099e-04
9.549596730596722205e-01,9.998674361865633742e-03,2.123433195599493811e-02,2.491368682576499760e-04
9.649702157696553595e-01,1.002241105810064425e-02,2.126718338198388056e-02,2.607804216138500135e-04
9.750042626235568832e-01,1.004568264970229219e-02,2.107240938576969078e-02,2.551550411163499817e-04
9.850613505313112750e-01,1.006849316580649134e-02,2.089713222194275466e-02,2.333866285257999872e-04
9.951410204867062737e-01,1.009084674498361700e-02,2.110350735130341743e-02,2.202567208570499957e-04
1.005242817671737843e+00,1.011274762507952119e-02,2.108670932715648455e-02,2.257796498540500017e-04
1.015827468075864770e+00,1.105655318317433355e-02,2.100999353228812441e-02,2.298369411806000084e-04
1.026896503448710973e+00,1.108151756251785081e-02,2.102602583719582335e-02,2.179426068997999955e-04
1.037990224825711127e+00,1.110592519148245749e-02,2.100407591963950743e-02,2.147055299945499951e-04
1.049108078967458946e+00,1.112978309201340110e-02,2.099783520363250958e-02,2.117297333591000011e-04
1.060249504650502050e+00,1.115306827407280821e-02,2.111237195553026733e-02,2.066419848362499882e-04
1.071413939045112951e+00,1.117580051514877049e-02,2.103590453505640653e-02,1.947717636195499941e-04
1.082600833948283547e+00,1.119798929119286690e-02,2.133347886339085828e-02,2.083577057587999775e-04
1.093809649518802996e+00,1.121964184984580726e-02,2.114494602634230461e-02,2.254195619636000078e-04
1.105039875976387975e+00,1.124081106532393015e-02,2.131199071635352799e-02,2.113447537815000014e-04
1.116291000088821317e+00,1.126143715954297519e-02,2.143057500868167375e-02,1.970171231168500086e-04
1.128032989418438437e+00,1.222254149969126402e-02,2.136782590836481741e-02,1.854378479827000024e-04
1.140266997786670178e+00,1.224547523677244065e-02,2.142374235262719043e-02,1.873000750863999873e-04
1.152523641708661728e+00,1.226781260721021560e-02,2.124782024135156086e-02,1.921305814243000007e-04
