# #wave,bin_width,rp/rs,rp/rs_err
8.771132776231614914e-01,8.904815830726553472e-03,2.100532759736365926e-02,8.460427105220762822e-08
8.860294926885012856e-01,8.927614299953035015e-03,2.115386823345893896e-02,8.752927308504550941e-08
8.954164294543174307e-01,9.846259231679366231e-03,2.115128848178562254e-02,8.439068743996961936e-08
9.052760002544633089e-01,9.872882368612168058e-03,2.116740703902097315e-02,7.448158859816387350e-08
9.151619416423071307e-01,9.899000407075586594e-03,2.110350733829959025e-02,6.526505161601714719e-08
9.250737594602105318e-01,9.924635228731326642e-03,2.131886741620653627e-02,6.716966220633384119e-08
9.350109721505805993e-01,9.949790152008808342e-03,2.131690100813004099e-02,6.081280955843287275e-08
9.449731015526622313e-01,9.974468652154344639e-03,2.132519111857901148e-02,6.715429481118205418e-08
9.549596730596722205e-01,9.998674361865633742e-03,2.123433195599493811e-02,6.206917912522963798e-08
9.649702157696553595e-01,1.002241105810064425e-02,2.126718338198388056e-02,6.800642829709737310e-08
9.750042626235568832e-01,1.004568264970229219e-02,2.107240938576969078e-02,6.510409500708625019e-08
9.850613505313112750e-01,1.006849316580649134e-02,2.089713222194275466e-02,5.446931837463975927e-08
9.951410204867062737e-01,1.009084674498361700e-02,2.110350735130341743e-02,4.851302308270044207e-08
1.005242817671737843e+00,1.011274762507952119e-02,2.108670932715648455e-02,5.097645028821742323e-08
1.015827468075864770e+00,1.105655318317433355e-02,2.100999353228812441e-02,5.282501953125458547e-08
1.026896503448710973e+00,1.108151756251785081e-02,2.102602583719582335e-02,4.749897990228074795e-08
1.037990224825711127e+00,1.110592519148245749e-02,2.100407591963950743e-02,4.609846461024060794e-08
1.049108078967458946e+00,1.112978309201340110e-02,2.099783520363250958e-02,4.482947998831558226e-08
1.060249504650502050e+00,1.115306827407280821e-02,2.111237195553026733e-02,4.270090989706496705e-08
1.071413939045112951e+00,1.117580051514877049e-02,2.103590453505640653e-02,3.793603990346985806e-08
1.082600833948283547e+00,1.119798929119286690e-02,2.133347886339085828e-02,4.341293354907066674e-08
1.093809649518802996e+00,1.121964184984580726e-02,2.114494602634230461e-02,5.081397891586130321e-08
1.105039875976387975e+00,1.124081106532393015e-02,2.131199071635352799e-02,4.466660495096285595e-08
1.116291000088821317e+00,1.126143715954297519e-02,2.143057500868167375e-02,3.881574680124003670e-08
1.128032989418438437e+00,1.222254149969126402e-02,2.136782590836481741e-02,3.438719546445495382e-08
1.140266997786670178e+00,1.224547523677244065e-02,2.142374235262719043e-02,3.508131812737107436e-08
1.152523641708661728e+00,1.226781260721021560e-02,2.124782024135156086e-02,3.691416031843957508e-08
1.164802302728237260e+00,1.228950943194107026e-02,2.134988918931945978e-02,4.234868037096456580e-08
1.177102334539893880e+00,1.231055419137216944e-02,2.128988836887729663e-02,3.695916008045182956e-08
1.189423116174335382e+00,1.233100907751083497e-02,2.116901651790335792e-02,3.912722272467193240e-08
1.201764071217641838e+00,1.235090100910185562e-02,2.124898939348895607e-02,3.474395015896211791e-08
1.214124590494608080e+00,1.237013754483085037e-02,2.118005158460324611e-02,2.959419015792930743e-08
1.226504076577817015e+00,1.238883462158701931e-02,2.120971281903282282e-02,3.477036826192100812e-08
1.243201835826508894e+00,2.100668387579673890e-02,2.109433892726049475e-02,2.595226714131606074e-08
1.262315574581692079e+00,1.339645371888531500e-02,2.100509971945782248e-02,3.691012840373008713e-08
1.275721572562800610e+00,1.341554224333152412e-02,2.097857442059879521e-02,4.132305780616578517e-08
1.289146357215933181e+00,1.343402706293383986e-02,2.099768585400621154e-02,3.256553547751217298e-08
1.302589267889792346e+00,1.345179428478471273e-02,2.099167922963761715e-02,3.942675438591367738e-08
1.316049639962227014e+00,1.346894986008440043e-02,2.121608445352856850e-02,4.278515998008050520e-08
1.329526840272557742e+00,1.348545076057727776e-02,2.137580663024322286e-02,4.378777037373495853e-08
1.343020235263706841e+00,1.350133922172092049e-02,2.145402397897182289e-02,4.500085317402721693e-08
1.357012230166893652e+00,1.448265058465270094e-02,2.173487758986114571e-02,3.846055023517720052e-08
1.371503279737105396e+00,1.449944855577056657e-02,2.160741365628486912e-02,4.486709842719366747e-08
