# #wave,bin_width,rp/rs,rp/rs_err
1.386010765866671157e+00,1.451552370336117725e-02,2.158225428267273455e-02,3.608413053186489405e-08
1.400533976823163052e+00,1.453089820962238932e-02,2.162873977839577591e-02,4.766385069594729103e-08
1.415072212764664883e+00,1.454557367338105145e-02,2.160695557594695046e-02,4.631825182648966082e-08
1.429624797415615323e+00,1.455959562852005007e-02,2.172705635078784822e-02,3.991442305616093314e-08
1.444191059793553888e+00,1.457292912735708157e-02,2.167963271153268770e-02,4.831295047191658591e-08
1.459256764294100783e+00,1.555847987373693009e-02,2.145964761574914795e-02,4.109700445722853907e-08
1.474822086550484856e+00,1.557216463903099424e-02,2.154660917388585839e-02,4.380891605429287807e-08
1.490400742289301750e+00,1.558514683860279249e-02,2.136056224262001049e-02,3.815249081600810947e-08
1.505992011609701420e+00,1.559739180219654742e-02,2.138392448798197981e-02,5.126752456708859130e-08
1.521595178568852624e+00,1.560894211610608373e-02,2.123486567064865674e-02,4.559573998184482481e-08
1.537209566322066623e+00,1.561983339032169127e-02,2.117369226081698697e-02,5.242249033788895531e-08
1.552834506068395015e+00,1.563004610233509339e-02,2.118673883786970774e-02,6.148968069156531126e-08
1.568958241451172242e+00,1.661742466321936007e-02,2.124032738189797487e-02,4.554057322358618189e-08
1.585580711510649721e+00,1.662751545573559753e-02,2.101250432404314084e-02,4.399885649591234939e-08
1.602212913426805940e+00,1.663688837657706365e-02,2.104713592312771470e-02,5.009704874800896967e-08
1.618854157130242388e+00,1.664559903029538823e-02,2.106405057283354185e-02,5.565602648172463788e-08
1.635503774105585784e+00,1.665363492039162452e-02,2.103863417999569246e-02,5.520605657582841897e-08
1.652161112025440914e+00,1.666104091931863707e-02,2.094031712258898753e-02,5.735299264032855391e-08
1.669315892065233786e+00,1.764851916026710654e-02,2.093047581010879649e-02,5.649320093664668976e-08
1.686967881448029338e+00,1.765545960532421965e-02,2.101193996702595615e-02,6.766610336063181618e-08
1.704626486676184438e+00,1.766175085098553588e-02,2.087303029568951182e-02,6.204206856000516819e-08
1.722291077938987280e+00,1.766743167462037079e-02,2.105692342806980352e-02,7.064222913666466495e-08
1.739961051754053578e+00,1.767251595551200261e-02,2.112966652171387530e-02,6.818834434938424802e-08
1.757635834128036034e+00,1.767704879245335370e-02,2.135845574288807239e-02,6.931898542746441351e-08
1.775806087137436595e+00,1.866345722634754623e-02,2.123773064404665609e-02,7.578576255337743540e-08
1.794471493499931958e+00,1.866735549864317889e-02,2.132239779972576812e-02,7.546734161352640125e-08
1.813140533274810062e+00,1.867072405111303013e-02,2.128966312000258113e-02,8.586931315311687203e-08
1.831812698728735533e+00,1.867360685673813414e-02,2.139475697061140463e-02,1.033721040466222825e-07
1.850487519925533064e+00,1.867603553685670548e-02,2.172766548177336443e-02,9.217547873845654840e-08
1.869656118314574123e+00,1.966116124122518904e-02,2.157474732266580555e-02,8.961493630342042820e-08
1.889318187349459333e+00,1.966297682854545315e-02,2.161432160874907082e-02,9.580986660563362553e-08
1.908981882042452227e+00,1.966441255744011407e-02,2.138773121613825670e-02,1.079118578415896004e-07
1.928646849446895128e+00,1.966552225144568844e-02,2.136344548517476669e-02,1.002531439708651213e-07
1.948312788949877250e+00,1.966635675451877674e-02,2.135601425415633442e-02,1.088247814614687342e-07
1.968471129632634931e+00,2.065032461099680638e-02,2.160048113741980941e-02,1.109292776698072106e-07
1.990105068777940911e+00,2.261755367961515439e-02,2.113328145034713140e-02,1.127549617798721254e-07
2.030423888420148870e+00,2.065136727551264428e-02,2.150118221182797246e-02,1.213592735324242966e-07
2.051075369941813609e+00,2.065159576781638862e-02,2.129220591483566016e-02,1.250454617386874778e-07
2.072218816473170300e+00,2.163529729489743758e-02,2.122088086720266484e-02,1.435418170607662764e-07
2.093854322872148455e+00,2.163571550305842806e-02,2.108031846986598012e-02,1.375131206719148482e-07
2.115490344757890551e+00,2.163632826842576407e-02,2.097216550553842804e-02,1.477503837962636941e-07
2.137127113379550192e+00,2.163720897489351813e-02,2.105780993159374337e-02,1.601850756563785715e-07
2.159256733177555176e+00,2.262203062111645124e-02,2.104787108633411966e-02,1.632635922794440583e-07
2.181879670538501070e+00,2.262384410077533659e-02,2.081508197766775842e-02,1.561299463856779222e-07
2.204504702618748535e+00,2.262622005971959283e-02,2.096756058433384487e-02,1.781449435398550094e-07
2.226640459739479549e+00,2.164529418174243602e-02,2.085568447661174246e-02,1.858195579577965474e-07
2.250747620462710152e+00,2.263320039313798659e-02,2.090487074149607882e-02,1.825291158838214672e-07
2.279289729384958108e+00,3.445101745135747962e-02,2.111251937370134391e-02,1.240041410447709175e-07
2.323102163866121561e+00,2.363620528243082219e-02,2.097819330687362288e-02,1.957233894217459563e-07
2.346742672167519306e+00,2.364481132036466704e-02,2.107878355633867329e-02,2.380819978137579624e-07
2.370885402869502112e+00,2.464065008360094566e-02,2.133524170475127255e-02,2.278726462106536046e-07
2.406879029488230071e+00,4.734660315385497142e-02,2.108671910080451781e-02,1.700558476750895984e-07
2.444868110244519777e+00,2.468363120765681984e-02,2.132033481332986508e-02,2.470773598940762189e-07
2.470055098215227396e+00,2.569034473375841898e-02,2.161637603564858442e-02,2.738010320132271752e-07
2.488832285358914209e+00,9.886996689444593756e-03,2.112929818307050789e-02,7.044317997303403182e-07
2.520986181628598111e+00,2.474684007139948960e-02,2.160696157217786503e-02,3.321000601298077679e-07
2.566068416472409908e+00,2.578652415872806358e-02,2.155737241943631033e-02,4.149538071562247840e-07
2.592368046657691494e+00,2.681273621183555278e-02,2.133522976033011900e-02,3.763533511218387391e-07
2.619200041566400738e+00,2.685125360558249241e-02,2.120012768684759186e-02,3.580334486762729558e-07
2.646072380999495266e+00,2.689342526060611860e-02,2.173441649861524577e-02,3.992984022939271119e-07
2.681982370230597379e+00,4.492655320159855137e-02,2.187966546485223956e-02,2.932222164165499646e-07
2.720461260540417037e+00,2.803124035606252562e-02,2.179207403718584277e-02,4.476133237913932122e-07
2.748523411600297894e+00,2.809306176369918973e-02,2.150412460526071601e-02,5.923200150858547310e-07
2.781183071066978485e+00,3.722625716966154741e-02,2.177147964505966871e-02,4.560049956478749817e-07
2.804836795322513510e+00,6.049624046999380056e-03,2.179882883898550533e-02,2.707215007296946046e-06
