    0.413935157656669617E+01    0.254621284660220146E+10    0.107154016494750977E+04   -0.134463930130004883E+01   -0.224590301513671875E-03   -0.147376692295074463E+01   -0.574794888496398926E+01   -0.999999999999999998E+98   -0.599146350544150419E+01    1
    0.498431980609893799E+01    0.231025640435695696E+10    0.384132432937622070E+03   -0.126479053497314453E+01   -0.394123792648315430E-01   -0.102127432823181152E+00   -0.133779215812683105E+01   -0.999999999999999998E+98   -0.599396350544151169E+01    1
    0.480796709656715393E+01    0.275517858148455620E+10    0.128542225360870361E+04   -0.490110874176025391E+00   -0.408957159519195557E+01   -0.512909889221191406E-02   -0.504719853401184082E+00   -0.999999999999999998E+98   -0.599646350544151474E+01    1
    0.492958599328994751E+01    0.174039620709657693E+10    0.201591877937316895E+04   -0.293590021133422852E+01   -0.127591252326965332E+00   -0.138252782821655273E+01   -0.297034263610839844E+00   -0.999999999999999998E+98   -0.599896350544151957E+01    1
    0.452441337704658508E+01    0.164444198014616966E+10    0.998196649551391602E+03    0.124770116806030273E+01   -0.201789379119873047E+00   -0.131280541419982910E+00   -0.400856244564056396E+01   -0.999999999999999998E+98   -0.600146350544151552E+01    1
    0.407555130124092102E+01    0.279333923683881760E+10    0.166748790740966797E+04   -0.313755989074707031E+00   -0.182300448417663574E+01   -0.847653150558471680E-01   -0.779991745948791504E+00   -0.999999999999999998E+98   -0.600396350544151858E+01    1
    0.369457817077636719E+01    0.190113868261337304E+10    0.192534523010253906E+04   -0.177895593643188477E+01   -0.135716915130615234E+00   -0.353626370429992676E+00   -0.304676663875579834E+01   -0.999999999999999998E+98   -0.600646350544151630E+01    1
    0.226738262176513672E+01    0.171658251936674142E+10    0.108063309192657471E+04   -0.789165496826171875E-01   -0.126483786106109619E+01   -0.357079052925109863E+01   -0.585345840454101562E+01   -0.181327000873706860E+13   -0.600896350544152469E+01    1
    0.206018725037574768E+01    0.151520384506344795E+10    0.882667231559753418E+03   -0.123976182937622070E+01   -0.415711605548858643E+01   -0.365176427364349365E+01   -0.571107745170593262E+00   -0.170189214945262256E+13   -0.601146350544151886E+01    1
    0.222864341735839844E+01    0.186258924426317239E+10    0.146365361213684082E+04   -0.326009368896484375E+01   -0.407463383674621582E+01   -0.364594924449920654E+01   -0.289064276218414307E+01   -0.103476195790760986E+13   -0.601396350544150859E+01    1
    0.203765627741813660E+01    0.253301747671365738E+10    0.190776340961456299E+04   -0.219003009796142578E+01   -0.177712941169738770E+01   -0.503693783283233643E+01   -0.585357570648193359E+01   -0.342042152572366394E+12   -0.601646350544151520E+01    1
