    0.235441717252441496E+01    0.870609969249624252E+10    0.705403562806990180E+03    0.786051838220936247E+03    0.815527272859494556E+00   -0.371682036363322421E+00   -0.395259621498245473E+01    0.440358633310147773E+01    0.424057417673349146E+00   -0.296443623496337594E+01    0.881688404634400236E+00    0.316538471393641133E-04   -0.153970541827506274E-03   -0.210214841051550927E+01   -0.144910592172459474E+01   -0.371483531199534411E+01   -0.551933301825596700E+01   -0.374439495824916246E+01   -0.770231718612051368E+09
    0.235441700494088924E+01    0.870609949346567726E+10    0.705404772950491179E+03    0.786050431389729397E+03    0.815540888328548319E+00   -0.371682957661853219E+00   -0.395259171359530104E+01    0.440358709571285267E+01    0.424056792880942113E+00   -0.296443182575415420E+01    0.881688520127563269E+00    0.316540775708578915E-04   -0.153969234718589294E-03   -0.210214817134145271E+01   -0.144910277318903180E+01   -0.371483525478614141E+01   -0.551933620477457687E+01   -0.374439099927764740E+01   -0.770231718269603252E+09
    0.235441704039902655E+01    0.870609947560191917E+10    0.705405854657355803E+03    0.786051347978053627E+03    0.815549444785656052E+00   -0.371684819299731295E+00   -0.395259313409934609E+01    0.440356120583468780E+01    0.424057420263289186E+00   -0.296443204407758998E+01    0.881688486776290636E+00    0.316537747406838346E-04   -0.153969960076103879E-03   -0.210214842531038570E+01   -0.144910080473788128E+01   -0.371483510134752581E+01   -0.551933452903114485E+01   -0.374439244633334845E+01   -0.770231717962798595E+09
    0.235441686240416947E+01    0.870609959056648254E+10    0.705404032661144583E+03    0.786050102298570437E+03    0.815560916767184008E+00   -0.371678559419337695E+00   -0.395259187899304543E+01    0.440359650441564909E+01    0.424056994354288175E+00   -0.296443134992773238E+01    0.881688476622248252E+00    0.316540469546496467E-04   -0.153969333575054408E-03   -0.210214788377826700E+01   -0.144910002958634809E+01   -0.371483566458729886E+01   -0.551933847517374421E+01   -0.374439192510434182E+01   -0.770231716967041969E+09
    0.235441710517266323E+01    0.870609965656294823E+10    0.705404233765366598E+03    0.786050954629537500E+03    0.815535410386771575E+00   -0.371681125076452457E+00   -0.395259526974375230E+01    0.440357726044716280E+01    0.424056260372208171E+00   -0.296443542231348545E+01    0.881688573918174456E+00    0.316542577651322154E-04   -0.153969783496016088E-03   -0.210214773686495882E+01   -0.144910612790425830E+01   -0.371483506721008538E+01   -0.551933135582839896E+01   -0.374439169974915309E+01   -0.770231716916213274E+09
    0.235441693749060699E+01    0.870609946393129349E+10    0.705405888146838493E+03    0.786049903491100736E+03    0.815553356574442945E+00   -0.371685098737890129E+00   -0.395259227277785019E+01    0.440357097950058218E+01    0.424057067834002155E+00   -0.296443319722662224E+01    0.881688584656694863E+00    0.316540790192481342E-04   -0.153969452729064797E-03   -0.210214838707201324E+01   -0.144910247771822842E+01   -0.371483510519373628E+01   -0.551933759371602761E+01   -0.374439144463694618E+01   -0.770231716363650441E+09
    0.235441682283159448E+01    0.870609921226963425E+10    0.705405711615064206E+03    0.786051216152944221E+03    0.815538185956720230E+00   -0.371685867757385324E+00   -0.395259293594457084E+01    0.440357541593968449E+01    0.424056142306658168E+00   -0.296443483720874568E+01    0.881688631698309577E+00    0.316541592225036634E-04   -0.153969721799397083E-03   -0.210214795694736356E+01   -0.144910392291283863E+01   -0.371483518703205018E+01   -0.551933430207721454E+01   -0.374438940280272092E+01   -0.770231715715912819E+09
    0.235441709228346374E+01    0.870609944949019241E+10    0.705405602706483137E+03    0.786051296708966561E+03    0.815541783203232673E+00   -0.371684899369799648E+00   -0.395259361912394347E+01    0.440357856453880459E+01    0.424056757163386977E+00   -0.296443293852560075E+01    0.881688537173256237E+00    0.316539390036492605E-04   -0.153970131665788018E-03   -0.210214804793583099E+01   -0.144910356430928466E+01   -0.371483497629066495E+01   -0.551933305536040208E+01   -0.374439217444969863E+01   -0.770231715534399271E+09
    0.235441673866198631E+01    0.870609931402478409E+10    0.705406028183058993E+03    0.786050706002214724E+03    0.815545571165446903E+00   -0.371687260446724288E+00   -0.395259338491017598E+01    0.440357702559724373E+01    0.424055826997223329E+00   -0.296443545670414110E+01    0.881688648501307792E+00    0.316543064270876146E-04   -0.153969655185679530E-03   -0.210214778946019898E+01   -0.144910296721053022E+01   -0.371483492841717933E+01   -0.551933395784851921E+01   -0.374438955478766378E+01   -0.770231715039143443E+09
    0.235441688447310282E+01    0.870609980328953934E+10    0.705403741253680778E+03    0.786049744168891721E+03    0.815566920384006688E+00   -0.371675662159644205E+00   -0.395259269182961148E+01    0.440358862324323397E+01    0.424057248776074536E+00   -0.296443052458223733E+01    0.881688343109806150E+00    0.316543257500841865E-04   -0.153969163336364022E-03   -0.210214652294697846E+01   -0.144910064972900354E+01   -0.371483655185957229E+01   -0.551933345024071365E+01   -0.374439424203761728E+01   -0.770231714555289149E+09
