6.329787564466036187e-01 2.136593445085792006e-02
6.397093003717213566e-01 2.134875250598309085e-02
6.464723848451838784e-01 2.134084778806760729e-02
6.532674473530518666e-01 2.132279831783992149e-02
6.600939394590374931e-01 2.130537863462701742e-02
6.669512893003977094e-01 2.128515934983127300e-02
6.738389295757885034e-01 2.126642933124500007e-02
6.807563071366588003e-01 2.124960672206673354e-02
6.877028682975634410e-01 2.123683494259473795e-02
6.946780508002617927e-01 2.124724714351576213e-02
7.019010275392909559e-01 2.122528459787175609e-02
7.126886507834691020e-01 2.124425499016475288e-02
7.341974139876253913e-01 2.123149980295174419e-02
7.417949025853061151e-01 2.120635734502844191e-02
7.494198383420895837e-01 2.118829110005188490e-02
7.570715661876588065e-01 2.116734670653298150e-02
7.647494109596231215e-01 2.113759212684137787e-02
7.726799984455690051e-01 2.111667108647965682e-02
7.808641351316237822e-01 2.110683319926139404e-02
7.890752155461269179e-01 2.110120408417152232e-02
7.973124361649973624e-01 2.109364477777927668e-02
8.055750014744225140e-01 2.111724832976932115e-02
8.138621137540340555e-01 2.117819751437279019e-02
8.221729746298955810e-01 2.115587201896337866e-02
8.305067770784018144e-01 2.114399383193150267e-02
8.390954605940791344e-01 2.113304784232938188e-02
8.484061256231778536e-01 2.111734842178890695e-02
